id,area,name,type,type2,Lat,Lon,totalcar
A134,士林區,捷運淡水線高架橋下之捷運劍潭站橋下空間機車停車場,2,,25.086942685597784,121.52610972814311,0
A137,士林區,福林加油站第二停車場,2,,25.093204255854356,121.52754612263973,2
A138,士林區,士林市場地下停車場,2,,25.08737415210291,121.52443195014922,48
A140,士林區,百齡橋堤外(一)平面停車場(2-1),2,,25.092324707966036,121.51049544371187,118
A142,士林區,文林路加油站停車場,2,,25.087538516170216,121.52621629936144,11
A143,士林區,台北市立圖書館葫蘆堵分館大樓地下停車場,2,,25.082319932662283,121.51075022997175,56
A144,士林區,好庭車停車場(福國路站),2,,25.10294356889491,121.52381694162632,45
A145,士林區,臺北市士林區士林國民小學停車場,2,,25.092257210286085,121.52490523712476,42
A147,士林區,臺北市士林運動中心停車場,2,,25.089596346840036,121.52132705678815,64
A148,士林區,百齡橋堤外足球場停車場,2,,25.090279605696185,121.51463829592569,43
A15,士林區,百齡橋堤外平面停車場,2,,25.090568951188125,121.51189695682389,311
A16,士林區,劍潭抽水站堤外平面停車場,2,,25.080598564918404,121.51807554982618,224
A173,士林區,臺北市政府勞工局職業訓練中心停車場,2,,25.11474683193237,121.53802362870441,78
A18,士林區,長揚停車場福國站,2,,25.101546444374616,121.52236696667386,26
A19,士林區,台北市立大學天母校區體育館戶外平面停車場,2,,25.116066344704453,121.53509429467096,84
A21,士林區,百齡橋堤外槌球場南側臨時平面停車場,2,,25.08711239848075,121.51230233001162,238
A30,士林區,大葉天母停車場,2,,25.11183512887729,121.53145120464342,1748
A31,士林區,捷運士林站轉乘停車場,2,,25.09232557470196,121.52652419416425,139
